Object is a BN : n1f0d201fa5fb488b96dd612631ed306cb6, pred https://w3id.org/noria/ontology/networkInterfaceAdministrativeStatus, subject http://example.com/data/Eth0WebServerProd01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-15-48_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb13, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/LifecycleState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb14, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb35, pred http://www.w3.org/2004/02/skos/core#prefLabel, object State Change, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb43, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/ChangeRequest/status, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb31, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Initialised, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb26, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/urgency, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb18, pred https://w3id.org/noria/ontology/networkInterfaceOperationalStatus, subject http://example.com/noria-kg/Router01_Eth0, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb24, pred http://www.w3.org/2004/02/skos/core#prefLabel, object P2, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb34, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/Notification/Severity/PerceivedSeverity, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb3, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Financial Service, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb4, pred http://www.w3.org/2004/02/skos/core#prefLabel, object Critical, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb29, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/status, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb32, pred https://w3id.org/noria/ontology/alarmSeverity, subject http://example.com/noria-kg/Event_DB_Failure, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb16, pred https://w3id.org/noria/ontology/resourceType, subject http://example.com/noria-kg/VMwareCluster01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb12, pred https://w3id.org/noria/ontology/resourceType, subject http://example.com/noria-kg/ServerDB01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb17, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/AdministrativeState, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb28, pred https://w3id.org/noria/ontology/problemResponsibility, subject http://example.com/noria-kg/TT_20240515_001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb15, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/Resource/type, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb1, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/org/agent-contact-method, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb2, pred https://w3id.org/noria/ontology/agentPreferredContactMethod, subject http://example.com/noria-kg/JaneSmith, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb23, pred https://w3id.org/noria/ontology/troubleTicketType, subject http://example.com/noria-kg/TT_20240515_001, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Subject is a BN : neb2ee56883a740ab8fbfc5927fc415dbb38, pred http://www.w3.org/2004/02/skos/core#inScheme, object file:///home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash/kos/TroubleTicket/commentType, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl
Object is a BN : neb2ee56883a740ab8fbfc5927fc415dbb10, pred https://w3id.org/noria/ontology/resourceType, subject http://example.com/noria-kg/Router01, file : ../results/synthetics_graphs/2025-09-11/vertex_ai/gemini-2.5-flash//First_prompt_2025-09-11_15-17-20_Noria.ttl

